Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,10/5/2019,15:30 (16:30),Paderborn 07,1.7,1 2,2.8,Mainz 05,"14,217",Benteler-Arena,Patrick Ittrich,Match Report,
7,Sat,10/5/2019,15:30 (16:30),Leverkusen,1.3,1 1,1.7,RB Leipzig,"26,355",BayArena,Marco Fritz,Match Report,
7,Sat,10/5/2019,15:30 (16:30),Freiburg,0.4,2 2,0.8,Dortmund,"24,000",Schwarzwald-Stadion,Sven Jablonski,Match Report,
7,Sat,10/5/2019,18:30 (19:30),Schalke 04,1.7,1 1,0.6,KÃ¶ln,"61,883",Veltins-Arena,Tobias Welz,Match Report,
7,Sun,10/6/2019,13:30 (14:30),M'gladbach,3,5 1,1.4,Augsburg,"50,352",Stadion im Borussia-Park,Robert SchrÃ¶der,Match Report,
7,Sun,10/6/2019,15:30 (16:30),Wolfsburg,2.3,1 0,0.6,Union Berlin,"27,012",Volkswagen Arena,Bastian Dankert,Match Report,
7,Sun,10/6/2019,18:00 (19:00),Eint Frankfurt,2.2,2 2,1.8,Werder Bremen,"51,500",Commerzbank-Arena,Guido Winkmann,Match Report,

8,Fri,10/18/2019,20:30 (21:30),Eint Frankfurt,2.6,3 0,1.6,Leverkusen,"50,800",Commerzbank-Arena,Christian Dingert,Match Report,
8,Sat,10/19/2019,15:30 (16:30),DÃ¼sseldorf,1.3,1 0,0.2,Mainz 05,"40,660",Merkur Spielarena,Felix Zwayer,Match Report,
8,Sat,10/19/2019,15:30 (16:30),Union Berlin,1,2 0,0.5,Freiburg,"22,012",Stadion An der Alten FÃ¶rsterei,Benjamin Cortus,Match Report,
8,Sat,10/19/2019,15:30 (16:30),RB Leipzig,1.3,1 1,1.5,Wolfsburg,"39,182",Red Bull Arena,Deniz Aytekin,Match Report,
8,Sat,10/19/2019,15:30 (16:30),Augsburg,1.9,2 2,2.7,Bayern Munich,"30,660",WWK Arena,Daniel Siebert,Match Report,
8,Sat,10/19/2019,15:30 (16:30),Werder Bremen,1.1,1 1,0.5,Hertha BSC,"41,447",Weserstadion,Felix Brych,Match Report,
8,Sat,10/19/2019,18:30 (19:30),Dortmund,2.2,1 0,2.8,M'gladbach,"81,365",Signal Iduna Park,Sascha Stegemann,Match Report,
8,Sun,10/20/2019,15:30 (16:30),KÃ¶ln,2.1,3 0,0.4,Paderborn 07,"50,000",RheinEnergieSTADION,Manuel GrÃ¤fe,Match Report,
